"","Date","State","TotalSamples","Negative","Positive"
"1",2020-04-17,"Andaman and Nicobar Islands",1403,1210,12
"2",2020-04-24,"Andaman and Nicobar Islands",2679,NA,27
"3",2020-04-27,"Andaman and Nicobar Islands",2848,NA,33
"4",2020-05-01,"Andaman and Nicobar Islands",3754,NA,33
"5",2020-05-16,"Andaman and Nicobar Islands",6677,NA,33
"6",2020-05-19,"Andaman and Nicobar Islands",6965,NA,33
"7",2020-05-20,"Andaman and Nicobar Islands",7082,NA,33
"8",2020-05-21,"Andaman and Nicobar Islands",7167,NA,33
"9",2020-05-22,"Andaman and Nicobar Islands",7263,NA,33
"10",2020-05-23,"Andaman and Nicobar Islands",7327,NA,33
"11",2020-05-24,"Andaman and Nicobar Islands",7327,NA,33
"12",2020-05-25,"Andaman and Nicobar Islands",7363,NA,33
"13",2020-05-26,"Andaman and Nicobar Islands",7448,NA,33
"14",2020-05-27,"Andaman and Nicobar Islands",7499,NA,33
"15",2020-05-28,"Andaman and Nicobar Islands",7519,NA,33
"16",2020-05-29,"Andaman and Nicobar Islands",7567,NA,33
"17",2020-05-30,"Andaman and Nicobar Islands",7567,NA,33
"18",2020-05-31,"Andaman and Nicobar Islands",7706,NA,33
"19",2020-06-01,"Andaman and Nicobar Islands",7805,NA,33
"20",2020-06-02,"Andaman and Nicobar Islands",8086,NA,33
"21",2020-06-03,"Andaman and Nicobar Islands",8295,NA,33
"22",2020-06-04,"Andaman and Nicobar Islands",8413,NA,33
"23",2020-06-05,"Andaman and Nicobar Islands",8694,NA,33
"24",2020-06-06,"Andaman and Nicobar Islands",9037,NA,33
"25",2020-06-07,"Andaman and Nicobar Islands",9242,NA,33
"26",2020-06-08,"Andaman and Nicobar Islands",9341,NA,33
"27",2020-06-09,"Andaman and Nicobar Islands",9859,NA,33
"28",2020-06-10,"Andaman and Nicobar Islands",10010,NA,35
"29",2020-06-11,"Andaman and Nicobar Islands",10226,NA,38
"30",2020-06-12,"Andaman and Nicobar Islands",10697,NA,38
"31",2020-06-13,"Andaman and Nicobar Islands",10955,NA,38
"32",2020-06-14,"Andaman and Nicobar Islands",11356,NA,38
"33",2020-06-15,"Andaman and Nicobar Islands",11518,NA,41
"34",2020-06-16,"Andaman and Nicobar Islands",11809,NA,44
"35",2020-06-17,"Andaman and Nicobar Islands",12239,NA,44
"36",2020-06-18,"Andaman and Nicobar Islands",12622,NA,45
"37",2020-06-19,"Andaman and Nicobar Islands",12930,NA,47
